Date,open,high,low,close,adjclose,volume,ingested_at_utc
2019-01-02,39400.0,39400.0,38550.0,38750.0,32363.783203125,7847664,2026-02-03 07:06:34.962935+00:00
2019-01-03,38300.0,38550.0,37450.0,37600.0,31403.318359375,12471493,2026-02-03 07:06:34.962935+00:00
2019-01-04,37450.0,37600.0,36850.0,37450.0,31278.0390625,14108958,2026-02-03 07:06:34.962935+00:00
2019-01-07,38000.0,38900.0,37800.0,38750.0,32363.783203125,12748997,2026-02-03 07:06:34.962935+00:00
2019-01-08,38000.0,39200.0,37950.0,38100.0,31820.9140625,12756554,2026-02-03 07:06:34.962935+00:00
2019-01-09,38650.0,39600.0,38300.0,39600.0,33073.71484375,17452708,2026-02-03 07:06:34.962935+00:00
2019-01-10,40000.0,40150.0,39600.0,39800.0,33240.75,14731699,2026-02-03 07:06:34.962935+00:00
2019-01-11,40350.0,40550.0,39950.0,40500.0,33825.390625,11661063,2026-02-03 07:06:34.962935+00:00
2019-01-14,40450.0,40700.0,39850.0,40050.0,33449.54296875,11984996,2026-02-03 07:06:34.962935+00:00
2019-01-15,40050.0,41100.0,39850.0,41100.0,34326.5,11492756,2026-02-03 07:06:34.962935+00:00
2019-01-16,41150.0,41450.0,40700.0,41450.0,34618.81640625,8491595,2026-02-03 07:06:34.962935+00:00
2019-01-17,41700.0,42100.0,41450.0,41950.0,35036.4296875,11736903,2026-02-03 07:06:34.962935+00:00
2019-01-18,42000.0,42400.0,41950.0,42300.0,35328.7421875,11029256,2026-02-03 07:06:34.962935+00:00
2019-01-21,42700.0,42750.0,41900.0,42750.0,35704.57421875,11355701,2026-02-03 07:06:34.962935+00:00
2019-01-22,42750.0,42850.0,41850.0,42150.0,35203.45703125,9964356,2026-02-03 07:06:34.962935+00:00
2019-01-23,41350.0,42250.0,41350.0,42000.0,35078.17578125,11071079,2026-02-03 07:06:34.962935+00:00
2019-01-24,43050.0,43100.0,42350.0,43050.0,35955.12890625,14747623,2026-02-03 07:06:34.962935+00:00
2019-01-25,44300.0,44750.0,43750.0,44750.0,37374.95703125,22789395,2026-02-03 07:06:34.962935+00:00
2019-01-28,45000.0,45500.0,44600.0,45050.0,37625.515625,17998914,2026-02-03 07:06:34.962935+00:00
2019-01-29,45050.0,45500.0,44350.0,45500.0,38001.34765625,16215017,2026-02-03 07:06:34.962935+00:00
2019-01-30,44800.0,46400.0,44800.0,46400.0,38753.03515625,17505980,2026-02-03 07:06:34.962935+00:00
2019-01-31,46650.0,47050.0,46150.0,46150.0,38544.23046875,21621145,2026-02-03 07:06:34.962935+00:00
2019-02-01,46650.0,46950.0,46250.0,46350.0,38711.28125,13832454,2026-02-03 07:06:34.962935+00:00
2019-02-07,46800.0,47100.0,46200.0,46200.0,38585.98828125,15872001,2026-02-03 07:06:34.962935+00:00
2019-02-08,45700.0,45700.0,44650.0,44800.0,37416.71484375,12689196,2026-02-03 07:06:34.962935+00:00
2019-02-11,44500.0,45000.0,44250.0,45000.0,37583.7578125,11125044,2026-02-03 07:06:34.962935+00:00
2019-02-12,44650.0,46250.0,44650.0,46050.0,38460.71484375,13184367,2026-02-03 07:06:34.962935+00:00
2019-02-13,46400.0,46700.0,46000.0,46200.0,38585.98828125,11299738,2026-02-03 07:06:34.962935+00:00
